Key,Desc,Default,French
_Title,Tenebrosful's French Translation,,
_Author,Tenebrosful,,
(?) or (-) will bring up a menu with all the controls. Open and close this menu to proceed. Optionally you can press (Esc) then click 'Help Menu'.,,"<?> or </> will bring up a menu with all the controls.
Open and close this menu to proceed.
Optionally you can press <Esc> then click 'Help Menu'.","<?> Ou </> pour faire apparaître un menu avec toutes les commandes.
Ouvrir et fermer ce menu pour continuer.
Vous pouvez aussi appuyer sur <Echap> puis cliquez sur « Menu Aide »."
(A) on an object to bring it up.,,<A> on an object to bring it up.,<A> sur un objet pour le mettre en place.
(Back) will bring up a menu with all the controls. Open and close the menu by hitting (Back) Twice.,,"<Back> will bring up a menu with all the controls.
Open and close the menu by hitting <Back> Twice.","<Retour> va afficher un menu avec toutes les commandes.
Ouvrez et fermez le menu en appuyant sur <Retour> Deux fois."
(Click) Reset,,(Click) Reset,(Clique) Réinitialiser
(Click) Zoom,,(Click) Zoom,(Clique) Zoom
(Left Click) and hold your mouse on the deck.,,<Left Click> and hold your mouse on the deck.,Maintenez <Clique Gauche> sur le paquet.
(Left Click) and quickly drag away from the deck.,,<Left Click> and quickly drag away from the deck.,Maintenez <Clique Gauche>  et glissez rapidement hors du paquet.
(Optional) An additional AssetBundle that can be used for shared effects between multiple objects to avoid duplication in memory. Great for sound and particle effects.,,(Optional) An additional AssetBundle that can be used for shared effects between multiple objects to avoid duplication in memory. Great for sound and particle effects.,(Facultatif) Un AssetBundle supplémentaire qui peut être utilisé pour des effets partagés entre plusieurs objets afin d'éviter la duplication en mémoire. Idéal pour les effets sonores et de particules.
(Optional) Back image can be left blank.,,(Optional) Back image can be left blank.,(Facultatif) L'image de derrière peut être laissée en blanc.
(Optional) Custom model will by default generate a box collider for your model. Only use if a more accurate collider is needed due to performance costs. Supports compound colliders if there are multiple meshes (convex only). (255 triangles and triangulated.,,(Optional) Custom model will by default generate a box collider for your model. Only use if a more accurate collider is needed due to performance costs. Supports compound colliders if there are multiple meshes (convex only). <255 triangles and triangulated.,(En option) modèle personnalisé sera par défaut générer un collisionneur de boîte pour votre modèle. Utilisez uniquement si un collisionneur plus précise est nécessaire en raison des coûts de performance. Supports de composés collisionneurs Si plusieurs mailles (convexe seulement). <255 triangles et triangulées.
(Optional) Game Types:,,(Optional) Game Types:,(En Option) Types de jeu :
(Optional) Number of Players:,,(Optional) Number of Players:,(Facultatif) Nombre de joueurs :
"(Optional) Only used if mesh collider is supplied. Non-convex collision only works on locked objects, but allows colliders with holes (ex, Chinese Checker Board). If you need a non-convex collider on a moving object use multiple meshes on your supplied collider with this setting off.",,"(Optional) Only used if mesh collider is supplied. Non-convex collision only works on locked objects, but allows colliders with holes (ex, Chinese Checker Board). If you need a non-convex collider on a moving object use multiple meshes on your supplied collider with this setting off.","(Facultatif) Utilisé uniquement en cas collisionneur de maille est fourni. collision non convexe ne fonctionne que sur les objets verrouillés, mais permet collisionneurs avec des trous (ex, vérificateur chinois Board). Si vous avez besoin d'un collisionneur non convexe sur un objet en mouvement avec plusieurs mailles sur votre collisionneur fourni avec ce déclenchement."
"(Optional) Upload the diffuse-image texture for your model to a web host, then copy paste the direct link here.",,"(Optional) Upload the diffuse/image texture for your model to a web host, then copy paste the direct link here.","(Facultatif) Téléchargez le diffuse / texture de l'image pour votre modèle à un hébergeur, puis copiez collez le lien direct ici."
"(Optional) Upload the normal-bump texture for your model to a web host, then copy paste the direct link here.",,"(Optional) Upload the normal/bump texture for your model to a web host, then copy paste the direct link here.","(Facultatif) Ajouter la texture normale / bosse pour votre modèle à un hébergeur, puis copiez collez le lien direct ici."
"(Optional) Upload your image to a web host, then copy paste the direct link here.",,"(Optional) Upload your image to a web host, then copy paste the direct link here.","(Facultatif) Téléchargez votre image à un hébergeur, puis copiez collez le lien direct ici."
(Optional) Workshop Thumbnail URL:,,(Optional) Workshop Thumbnail Url:,(Facultatif) URL de la miniature Workshop :
(Right Bumper) and hold your pointer on the deck.,,<Right Bumper> and hold your pointer on the deck.,<Bumper Droit> et maintenez votre pointeur sur le paquet.
(Right Bumper) and quickly drag away from the deck.,,<Right Bumper> and quickly drag away from the deck.,<Bumper Droit> et faites-le glisser rapidement hors du paquet.
(Right Click) on an object to bring it up.,,<Right Click> on an object to bring it up.,<Clic Droit> sur un objet pour le prendre.
(Root Folder),,<Root Folder>,<Dossier racine>
({0}) and hold your hand on the deck.,,<{0}> and hold your hand on the deck.,<{0}> et maintenez votre main sur le paquet.
({0}) and quickly drag away from the deck.,,<{0}> and quickly drag away from the deck.,<{0}> et rapidement glisser loin du paquet.
10 digit number found in the URL of your mod on the Workshop,,10 digit number found in the URL of your mod on the Workshop,10 chiffres qui se trouvent dans l'URL de votre mod sur le Workshop
1ST PERSON CAMERA,,1St Person Camera,Caméra FPS
1st Person,,1st Person,FPS
2D,,2D,2D
"2D Art, UI, DLCs & PR",,"2D art, UI, DLCs","Art 2D, Interface, DLC"
2D Pointer,,2D Pointer,Pointeur 2D
2D or 3D,,2D or 3D,2D ou 3D
2d3dlong,,"When in 2D measurements will be flattened onto the horizontal plane.  

When in 3D height will be incorporated into the measurement.","Les mesures 2D seront aplatie sur le plan horizontal.

Les mesures 3D intégrent la hauteur dans la mesure."
3D,,3D,3D
3D Pointer,,3D Pointer,Pointeur 3D
